epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,539.412,0.71546,1.35063,0.89814,1.11517,0,0.64654,0.70129,0.73141,0.52481,0.65012,0.69971,0.73434,0.50755,0.98147,1.61813,1.00836,1.32938,0,0.004456,0.004456,0.004456
30,557.13,0.72003,1.35824,0.91441,1.12831,0,0.75282,0.67594,0.73602,0.54646,0.76897,0.68246,0.74608,0.52894,0.91157,1.70758,0.99719,1.30672,0,0.004258,0.004258,0.004258
31,575.187,0.71117,1.29542,0.87397,1.11808,0,0.74508,0.65726,0.72588,0.52801,0.74517,0.6543,0.71939,0.51537,0.93706,1.60815,0.97036,1.32306,0,0.00406,0.00406,0.00406
32,592.785,0.71089,1.3256,0.86966,1.11464,0,0.70738,0.72977,0.76894,0.55557,0.71511,0.72977,0.76981,0.54745,0.94288,1.61008,0.91349,1.32409,0,0.003862,0.003862,0.003862
33,610.3,0.69484,1.26967,0.83874,1.11184,0,0.60318,0.64025,0.63148,0.46204,0.59158,0.64374,0.62653,0.43565,0.96976,1.83238,1.26186,1.3543,0,0.003664,0.003664,0.003664
34,627.958,0.68434,1.27823,0.83909,1.10097,0,0.71797,0.68039,0.73396,0.54067,0.73905,0.67785,0.7327,0.52747,0.90818,1.58366,0.94153,1.31686,0,0.003466,0.003466,0.003466
35,645.976,0.68527,1.26952,0.83863,1.10633,0,0.76198,0.68663,0.74371,0.57292,0.7648,0.69063,0.74725,0.55276,0.87642,1.60421,0.87706,1.27222,0,0.003268,0.003268,0.003268
36,664.351,0.66135,1.22001,0.78672,1.09076,0,0.73499,0.72093,0.76148,0.56812,0.76172,0.7053,0.76558,0.55047,0.89451,1.54718,0.84129,1.29817,0,0.00307,0.00307,0.00307
37,682.785,0.64632,1.19552,0.78526,1.08267,0,0.73557,0.7487,0.75774,0.58321,0.75333,0.76054,0.78336,0.57559,0.84839,1.48997,0.84702,1.23333,0,0.002872,0.002872,0.002872
38,701.071,0.6542,1.19798,0.76912,1.08582,0,0.75486,0.75034,0.81208,0.60461,0.79159,0.72583,0.79611,0.5857,0.83982,1.49007,0.75738,1.22404,0,0.002674,0.002674,0.002674
39,718.75,0.62313,1.17771,0.74884,1.06658,0,0.77263,0.78115,0.80179,0.60894,0.7682,0.77616,0.7958,0.58527,0.85391,1.48223,0.79263,1.24007,0,0.002476,0.002476,0.002476
40,736.266,0.62943,1.14705,0.76804,1.06833,0,0.78875,0.7831,0.81343,0.62658,0.8072,0.79517,0.83345,0.6062,0.79167,1.49393,0.78055,1.21137,0,0.002278,0.002278,0.002278
